Nombre de tarea,Descripción,Documento,Estado,Estado del entregable,Fecha límite,Parcial,Prioridad,Responsable,Sprint
RF19 - Modificar Paquete,"Como: Admin. del Sistema
Necesito: Modificar los datos comerciales y de margen de un paquete existente.
Así podré: Mantener la oferta de paquetes comerciales actualizada según las necesidades del negocio.
Notas: Ventana modal que precarga la información del registro seleccionado.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 65.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
RF11 - Buscar y Filtrar Cotizaciones,"Como: Admin. de Cotizaciones
Necesito: Visualizar el historial y estado de las propuestas generadas.
Así podré: Realizar el seguimiento centralizado de las propuestas comerciales.
Notas: Filtros integrados por Cliente, Estado y Rango de Fechas.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 37.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
"RF16,1 - Registrar Nuevo Insumo","Necesito: Formulario con nombre y unidad de medida.
Notas: Marcas opcionales.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 55.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Leonel Tipan,Sprint 1
"RF12,2 - Selección y Fijado de Fecha","Como: Técnico
Necesito: Integrar el selector de calendario para la fecha tentativa del evento.
Notas: Selección obligatoria de la fecha del evento asociada a la cotización.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 42.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
"RF13,1 - Cálculo de Valores y Edición de Rubros","Como: Técnico
Necesito: Ajustar rubros, cantidades y calcular subtotales e IVA automáticamente.
Notas: Recálculo automático de subtotales e impuestos en la sección inferior. Panel lateral con buscador de catálogo.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 44.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
FR20 - Gestionar Contenido de Paquete,"Como: Admin. del Sistema
Necesito: Asignar o remover servicios y productos específicos de un paquete indicando cantidades.
Así podré: Definir con exactitud la composición técnica e ítems vinculados a la oferta.
Notas: Se dispara como una ventana de gestión modal independiente desde el catálogo de paquetes.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 67.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Leonel Tipan,Sprint 1
"RF12,1 - Wizard de Generación (Pasos 1 y 2)","Como: Técnico
Necesito: Crear un proceso secuencial de 4 pasos.
Notas: Paso 1: Selector desplegable para clientes existentes y acceso rápido para registrar nuevo cliente. Paso 2: Selección de paquete base.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 41.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Leonel Tipan,Sprint 1
"RF11,2 - Consultar Calendario de Eventos","Como: Usuario
Necesito: Consultar la disponibilidad de fechas en un calendario.
Notas: Pantalla de consulta de la agenda comercial vinculada a la barra lateral.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 39.",,Sin empezar,,14/06/2026,Parcial 2,Media,Diany Guerra,Sprint 1
"RF13,2 - Implementación de Autoguardado","Como: Técnico
Necesito: Programar la persistencia automática en segundo plano cada 60 segundos.
Notas: Criterio de Fiabilidad (NF-004) y Mantenibilidad (NF-004/RNF-008).
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 45.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
"RF15,1 - Generar PDF de Cotización","Como: Técnico
Necesito: Exportar la propuesta a un documento PDF inalterable.
Notas: Debe incluir logotipo, colores corporativos y eslogan de ""Chichi Está de Fiesta"". Idioma exclusivamente en español.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 49.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
RF18 - Crear Paquete,"Como: Admin. del Sistema
Necesito: Configurar combinaciones predefinidas de productos y servicios.
Así podré: Estructurar la oferta comercial base del negocio de catering.
Notas: Formulario modal de registro que conecta con el catálogo comercial.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 61.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
"RF18,1 - Formulario de Registro de Paquete","Como: Técnico
Necesito: Construir una interfaz modal para ingresar los datos del nuevo paquete.
Notas: Requiere el ingreso obligatorio de: nombre, descripción detallada y el margen de ganancia esperado. Botones para cancelar o guardar.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 62.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
RF16 - Catálogo de Insumos,"Como: Encargado de Inventario
Necesito: Mantener un registro actualizado de materia prima y costos.
Así podré: Utilizarlo como referencia para el cálculo de costos y recetas.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 53.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Leonel Tipan,Sprint 1
"RF20,1 - Vinculación y Ajuste de Ítems","Como: Técnico
Necesito: Construir la interfaz de asignación con un buscador de productos y un campo numérico de cantidad.
Notas: Debe incluir un botón dedicado para ""Vincular al Paquete"" y opciones de borrado o eliminación individual en el listado de servicios vinculados.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 68.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
RF12 - Crear Cotización,"Como: Admin. de Cotizaciones
Necesito: Generar una nueva propuesta comercial de eventos.
Así podré: Automatizar el proceso emitiendo cotizaciones claras y consistentes.
Notas: Guía secuencial a través de un asistente o Wizard de 4 pasos.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 40.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
RF15 - Exportar y Enviar Cotización,"Como: Admin. de Cotizaciones
Necesito: Emitir el documento formal final y despacharlo al cliente.
Así podré: Entregar la propuesta económica al cliente a través de canales digitales.
Notas: Generación en formato PDF estándar y envío directo por la API de WhatsApp.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 48.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Leonel Tipan,Sprint 1
RF14 - Actualizar Estado de Cotización,"Como: Admin. de Cotizaciones
Necesito: Cambiar el estado comercial de la propuesta mediante una ventana modal.
Así podré: Controlar el flujo del proceso y la reserva automatizada de la agenda.
Notas: Ventana modal ""Actualizar Estado de Cotización"" con menú desplegable.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 46.",,Sin empezar,,14/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
RF21 - Desactivar Paquete,"Como: Admin. del Sistema
Necesito: Dar de baja o desactivar un paquete comercial del catálogo.
Así podré: Evitar que se sigan generando cotizaciones basadas en paquetes obsoletos o descontinuados.
Notas: Eliminación lógica o cambio de estado dentro del catálogo de ofertas base.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 69.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Paul Moreno,Sprint 1
"RF16,2 - Actualizar Costo de Insumo","Necesito: Ventana que reciba el nuevo costo unitario.
Notas: Visualizar costo anterior.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 56.",,Sin empezar,,15/06/2026,Parcial 2,Alta,Diany Guerra,Sprint 1
"RF16,3 - Historial de Movimientos","Necesito: Interfaz informativa de auditoría con entradas/salidas.
Notas: Solo lectura.
Fuente: GN7_Backlog_V0.2.xlsx, hoja Sprint0, Sprint 1 y Sprint 2, fila 57.",,Sin empezar,,15/06/2026,Parcial 2,Media,Paul Moreno,Sprint 1
